date,doc_number,title,synopsis,type,action,theme,neighborhood,url,Morillo,Avalos,Ryan,Pirtle-Guiney,Zimmerman,Dunphy,Smith,Green,Clark,Kanal,Novick,Koyama Lane
2026-08-12,2026-280,"Authorize a non-binding term sheet with Rip City Management LLC and Trail Blazers Holdings, LLC outlining the terms for Moda Center arena renovation, operating and lease agreements that will keep the Portland Trail Blazers playing in Portland for at least 20 more years","Approves a non-binding term sheet with Rip City Management and Trail Blazers Holdings for Moda Center renovation, operating and lease agreements that would keep the Trail Blazers in Portland for at least 20 more years.",Resolution,Adopted as amended,Economic Development,Lloyd,https://www.portland.gov/council/agenda/2026/8/12,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay
2026-08-06,2026-189,​​Amend City Code and improve land use regulations through the Regulatory Improvement Code Amendment Package 11 (amend Code Titles 32 and 33)​,Amends City code (Titles 32 and 33) to improve land use regulations through Regulatory Improvement Code Amendment Package 11.,Ordinance,Passed as amended,Land Use & Planning,Not specified in agenda,https://www.portland.gov/council/agenda/2026/8/5,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-07-29,2026-217,Consider appeals of the Design Commission’s approval of a voluntary Central City Master Plan Review and Adjustment Review for the Lloyd Center Central City Master Plan (LU 25-091308 CCMS AD),Council's decision on appeals of the Design Commission's approval of the Lloyd Center Central City Master Plan; this vote adopted Council's written findings.,Report,Findings adopted,Land Use & Planning,Lloyd,https://www.portland.gov/council/agenda/2026/7/29,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent
2026-07-29,2026-205,Amend Partial and Full Exemptions of System Development Charges for Affordable Housing Developments Code to temporarily remove income requirements for homeownership units (amend Code Section 30.01.095),Temporarily removes income limits for homeownership units that qualify for affordable-housing exemptions from System Development Charges.,Ordinance,Passed,Housing,Not specified in agenda,https://www.portland.gov/council/agenda/2026/7/29,Yea,Absent,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay
2026-07-29,2026-209,Add Electric Vehicle Charging Systems Funding Code (add Code Chapter 26.11),Adds a City code chapter setting up funding for electric vehicle charging systems.,Ordinance,Passed,Environment & Energy; Transportation,Not specified in agenda,https://www.portland.gov/council/agenda/2026/7/29,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-07-22,2026-236,Authorize a five-year lease with American Property Management for Community Safety Division eastside office,Approves a five-year lease for an eastside office for the Community Safety Division.,Emergency ordinance,Passed,Public Safety; Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2026/7/22,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-07-22,2026-222,"Amend the FY 2026-27 Budget to appropriate $13,076,892 in Portland Clean Energy Fund interest income, $5,491,002 other fund resources, and $335,000 in County IGA revenues to restore frontline positions and services reduced in the approved budget and to provide transition support for affected employees","Would have amended the FY 2026-27 budget to spend $13,076,892 in Portland Clean Energy Fund interest, $5,491,002 in other fund resources and $335,000 in County revenue to restore frontline positions and services cut in the approved budget and to support affected employees. Councilors split 6-6; Mayor Wilson broke the tie by voting Nay.",Ordinance,Failed to pass,Budget & Taxes; Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2026/7/22,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea
2026-07-22,2026-223,Adopt a Supplemental Budget for FY 2026-27 to reduce potential risks to City services,Adopts a supplemental budget for FY 2026-27 intended to reduce risks to City services.,Ordinance,Passed as amended,Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/7/22,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay
2026-07-23,2026-192,Amend Vehicles and Traffic Code to clarify applicability of ride fees and establish a Drivers’ Resource Center for Transportation Network Company drivers (amend Code Sections 16.40.030 and 16.40.240),Clarifies which rides the City's ride fees apply to and creates a Drivers' Resource Center for Transportation Network Company (rideshare) drivers.,Emergency ordinance,Passed as amended,Transportation; Business Regulation,Not specified in agenda,https://www.portland.gov/council/agenda/2026/7/22,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-07-16,2026-203,Direct the City Administrator to reestablish a Permitting Improvement Team to lead the second phase of the Code Alignment Project,Directs the City Administrator to bring back a Permitting Improvement Team to lead the second phase of the Code Alignment Project.,Resolution,Adopted,Government Operations; Land Use & Planning,Not specified in agenda,https://www.portland.gov/council/agenda/2026/7/15,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-07-08,2026-204,Establish 2026 sale price cap for the Homebuyer Opportunity Limited Tax Exemption Program​,Sets the 2026 maximum sale price for homes in the Homebuyer Opportunity Limited Tax Exemption program.,Resolution,Adopted,Housing,Not specified in agenda,https://www.portland.gov/council/agenda/2026/7/8,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent
2026-06-25,2026-218,"Revise sewer and stormwater rates, charges, and fees for FY 2026-27","Sets sewer and stormwater rates, charges and fees for FY 2026-27.",Emergency ordinance,Passed,Utilities,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/24,Yea,Yea,Absent,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Absent
2026-06-25,2026-175,"Authorize a Cable Franchise Fund for the Bureau of Planning and Sustainability to support the collection of Public, Education, and Government revenues and manage cable franchise work related to intergovernmental agreements with jurisdictions","Creates a Cable Franchise Fund in the Bureau of Planning and Sustainability to collect public, education and government channel revenue and manage cable franchise work with other jurisdictions.",Ordinance,Passed,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/24,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Absent
2026-06-25,2026-176,Amend City Code to reflect the dissolution of the Mt. Hood Cable Regulatory Commission​ (amend Code Chapters 3.33 and 3.115),Updates City code to reflect that the Mt. Hood Cable Regulatory Commission has been dissolved.,Ordinance,Passed,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/24,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Absent
2026-06-25,2026-174,Amend City Code to transfer oversight of portable sign placement in the right of way and remove registration requirements (amend Code Title 32 and add Code Chapter 17.110),Transfers oversight of portable signs placed in the public right of way (adding Code Chapter 17.110) and removes the registration requirement.,Ordinance,Passed,Business Regulation; Transportation,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/24,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Absent
2026-06-17,2026-196,"Adopt the annual budget of the City and establish appropriations for the fiscal year beginning July 1, 2026 and ending June 30, 2027",Adopts the City's annual budget and spending authority for FY 2026-27.,Ordinance,Passed as amended,Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/17,Yea,Yea,Nay,Yea,Nay,Abstain,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-17,2026-197,"Approve levying taxes for the City for the fiscal year beginning July 1, 2026 and ending June 30, 2027",Levies the City's property taxes for FY 2026-27.,Emergency ordinance,Passed,Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/17,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea
2026-06-17,2026-199,Adopt the Supplemental Budget for the FY 2025-26 over-expenditure process and make budget adjustments in various funds,Supplemental budget for FY 2025-26 covering over-expenditures and adjustments across City funds.,Ordinance,Passed as amended,Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/17,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-17,2026-165,Authorize sewer revenue bonds to finance sewer system capital improvements for an amount sufficient to produce net proceeds of up to $235 million and to refund outstanding sewer revenue bonds,"Authorizes sewer revenue bonds for up to $235 million in net proceeds for sewer system improvements, and to refinance existing sewer bonds.",Ordinance,Passed,Utilities; Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/17,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-18,2026-124,Adopt and implement the Moderate-Income Revolving Loan Program,Adopts and puts in place the Moderate-Income Revolving Loan Program.,Ordinance,Passed as amended,Housing; Economic Development,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/17,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-10,2026-167,"Authorize the Bureau of Transportation to acquire certain permanent and temporary property rights necessary for the construction of the 174th Sidewalk Infill Kelly to Francis streets, SE Project, through the exercise of the City’s eminent domain authority",Authorizes the Bureau of Transportation to use eminent domain to acquire property rights for a sidewalk infill project on SE 174th Ave between Kelly and Francis streets.,Ordinance,Passed,Transportation,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/10,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-10,2026-166,Approve the designation of twelve trees as City Heritage Trees and remove the City Heritage Tree designation from fourteen trees,Designates twelve trees as City Heritage Trees and removes that designation from fourteen others.,Ordinance,Passed,Parks & Recreation; Environment & Energy,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/10,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-11,2026-152,Amend Portland Permitting & Development Fee Schedules to improve cost recovery to ensure an adequate level of service,Updates Portland Permitting & Development fee schedules to improve cost recovery and keep service at an adequate level.,Ordinance,Passed,Land Use & Planning; Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/10,Absent,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-03,2026-182,"Appropriate $2,500,000 from the Construction Excise Tax Sub-fund 225020 for homeownership development in District 2",Spends $2.5 million from the Construction Excise Tax fund on homeownership development in District 2.,Ordinance,Passed as amended,Housing; Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/3,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-04,2026-177,"Create a Sister City relationship between the City of Portland and the City of Lviv, Ukraine","Makes Lviv, Ukraine, a Portland sister city.",Ordinance,Passed,Arts & Culture,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/3,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-06-04,2026-149,Add Code to prohibit the sale or provision of certain force-fed poultry products (add Code Chapter 17.110),Bans selling or providing certain force-fed poultry products in Portland.,Ordinance,Passed as amended,Business Regulation,Not specified in agenda,https://www.portland.gov/council/agenda/2026/6/3,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea
2026-05-27,2026-158,Amend Portland Clean Energy Community Benefits Fund Code to allow a transfer of interest earned in FY 2024-25 for the FY 2026-27 budget (amend Code Section 7.07.060),Changes the Portland Clean Energy Fund code so interest earned in FY 2024-25 can be moved into the FY 2026-27 budget.,Ordinance,Passed,Budget & Taxes; Environment & Energy,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/27,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-05-27,2026-159,"Adopt solid waste and recycling rates and fees for franchised residential collection and the commercial tonnage fee, effective July 1, 2026 (amend ENN-2.09)","Sets garbage and recycling rates for residential collection and the commercial tonnage fee, starting July 1, 2026.",Ordinance,Passed as amended,Utilities,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/27,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-05-27,2026-160,"Revise transportation fees, rates and charges for FY 2026-27 and amend Transportation Fee Schedule (amend TRN 3.450)","Updates transportation fees, rates and charges for FY 2026-27.",Ordinance,Passed,Transportation; Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/27,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-05-27,2026-161,"Revise sewer and stormwater rates, charges and fees for FY 2026-27","Updates sewer and stormwater rates, charges and fees for FY 2026-27.",Ordinance,Passed,Utilities,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/27,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay
2026-05-27,2026-162,"Adopt rates, charges, and fees for water and water-related services for the fiscal year beginning July 1, 2026, and ending June 30, 2027 (amend ADM-14.07)","Sets water rates, charges and fees for FY 2026-27.",Ordinance,Passed,Utilities,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/27,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay
2026-05-27,2026-111,"Add Identification of Law Enforcement Officers Code to prohibit facial covering, require badge visibility, and require identity verification for individuals conducting law enforcement activities (add Code Chapter 23.30)","Bars people doing law enforcement work in Portland from covering their faces, and requires them to show a badge and verify their identity.",Ordinance,Passed as amended,Public Safety; Civil Rights & Equity,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/27,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea
2026-05-27,2026-147,"Amend Arts Tax Code to provide tax relief, promote sustainability of Arts Access Fund, define critical terms, and respond to community and audit recommendations (amend Code Chapter 6.10)","Changes the Arts Tax to provide tax relief, keep the Arts Access Fund sustainable, define key terms, and respond to community and audit recommendations.",Ordinance,Passed as amended,Arts & Culture; Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/27,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea
2026-05-20,2026-134,"Authorize water revenue bonds to finance water system capital improvements for an amount sufficient to produce net proceeds of up to $525,000,000 and to refund outstanding water revenue bonds","Authorizes water revenue bonds for up to $525 million in net proceeds for water system improvements, and to refinance existing water bonds.",Ordinance,Passed,Utilities; Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/18,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea
2026-05-13,2026-144,"Consider appeal by Pleasant Valley Neighborhood Association against the Hearings Officer’s decision to approve with conditions a Planned Development, Land Division and Environmental Review for the creation of 12 single-dwelling lots and 1 multi-dwelling lot in the Pleasant Valley Neighborhood (LU 23-003731 LDS EN PD)",Council's decision on the Pleasant Valley Neighborhood Association's appeal of a Hearings Officer approval for a development of 12 single-dwelling lots and one multi-dwelling lot; this vote adopted Council's written findings.,Report,Findings adopted,Land Use & Planning; Housing,Pleasant Valley,https://www.portland.gov/council/agenda/2026/5/13,Yea,Absent,Yea,Yea,Yea,Nay,Absent,Yea,Absent,Yea,Yea,Yea
2026-05-13,2026-132,"Approve funding recommendations of the Portland Children’s Levy Allocation Committee for July 1, 2026 – June 30, 2029",Approves the Portland Children's Levy Allocation Committee's funding recommendations for July 2026 through June 2029.,Ordinance,Passed,Health & Social Services; Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/13,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea
2026-05-13,2026-155,Authorize borrowings of not more than $95 million in anticipation of the Fire and Police Disability and Retirement Fund levy for FY 2026-27,Allows the City to borrow up to $95 million ahead of collecting the Fire and Police Disability and Retirement Fund levy for FY 2026-27.,Ordinance,Passed,Budget & Taxes; Public Safety,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/13,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-05-13,2026-151,Authorize conveyance of City-owned real property to Habitat for Humanity Portland/Metro East for the construction of True North project,Transfers City-owned land to Habitat for Humanity Portland/Metro East to build the True North project.,Emergency ordinance,Passed,Housing,University Park,https://www.portland.gov/council/agenda/2026/5/13,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-05-06,2026-039,"Amend Chronic Nuisance Property Code to address human trafficking, gun violence, and administrative challenges (amend Code Chapter 14B.60)","Updates the Chronic Nuisance Property code to address human trafficking, gun violence and administrative problems.",Ordinance,Passed as amended,Public Safety,Not specified in agenda,https://www.portland.gov/council/agenda/2026/5/6,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay
2026-04-29,2026-133,"Authorize the Bureau of Transportation to acquire certain permanent property rights necessary for a replacement rockfall mitigation system for the W Burnside Road – SW Tichner Drive Slide Project, through the exercise of the City’s eminent domain authority",Authorizes the Bureau of Transportation to use eminent domain to acquire property rights for a replacement rockfall mitigation system on the W Burnside Road – SW Tichner Drive slide project.,Ordinance,Passed,Transportation,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/29,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-04-29,2026-113,Establish a new Transportation Utility Fee to help fund basic maintenance and safety of the City’s transportation system (add Code Chapter 17.20),Creates a new Transportation Utility Fee to help pay for basic maintenance and safety of the City's transportation system.,Ordinance,Passed as amended,Transportation; Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/29,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea
2026-04-23,2026-131,"Amend franchise granted to Comcast of Oregon II, Inc. to reflect the dissolution of the Mt. Hood Cable Regulatory Commission (amend Ordinance 192084)​",Amends Comcast's cable franchise to reflect that the Mt. Hood Cable Regulatory Commission has been dissolved.,Emergency ordinance,Passed,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/21,Yea,Absent,Yea,Yea,Yea,Yea,Absent,Yea,Absent,Yea,Yea,Yea
2026-04-15,2026-114,Support modification of Bureau of Transportation street opening permits to utilities to include damage cost recovery related to long-term pavement degradation associated with excavation in the public right-of-way,Supports changing street-opening permits so utilities that dig up the public right-of-way pay for the long-term pavement damage it causes.,Resolution,Adopted as amended,Transportation; Utilities,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/15,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
2026-04-15,2026-120,Adopt the FY 2025-26 Technical Adjustment Ordinance and make other budget-related changes,Makes technical adjustments and other budget changes to the FY 2025-26 budget.,Ordinance,Passed as amended,Budget & Taxes,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/15,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Absent,Yea,Yea
2026-04-15,2026-106,Direct City Administrator to develop accelerated timeline for the Inner Eastside Area Planning Project and identify future area planning and zoning actions to advance housing production goals,Directs the City Administrator to speed up the Inner Eastside Area Planning Project and identify future planning and zoning steps to boost housing production.,Resolution,Adopted as amended,Land Use & Planning; Housing,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/15,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-04-16,2026-126,Add Code to establish the Portland Committee on Community-Engaged Policing (add Code Chapter 3.23),Creates the Portland Committee on Community-Engaged Policing in City code.,Emergency ordinance,Passed as amended,Public Safety; Government Transparency,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/15,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent
2026-04-08,2026-097,Vacate NE Couch St and NE Davis St west of NE 97th Ave subject to certain conditions and reservations (VAC-10140),"Vacates (removes from public right-of-way) sections of NE Couch St and NE Davis St west of NE 97th Ave, with conditions.",Ordinance,Passed,Transportation; Land Use & Planning,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/8,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea
2026-04-08,2026-077,Amend Business License Law Code to increase the business license tax gross receipts exemption (amend Code Section 7.02.400),Raises the gross-receipts threshold below which businesses are exempt from the City business license tax.,Ordinance,Passed as amended,Budget & Taxes; Economic Development,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/8,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-04-08,2026-119,Authorize a temporary interfund loan not to exceed $15 million from the Facilities Services Fund to the Health Insurance Operating Fund to provide interim funding for employee health benefits and to avoid negative cash and fund balances at the end of FY 2025-26,Allows a temporary loan of up to $15 million from the Facilities Services Fund to cover employee health benefits and avoid a negative balance at the end of FY 2025-26.,Emergency ordinance,Passed,Budget & Taxes; Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/8,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-04-02,2026-078,Amend Office of the City Attorney Code to authorize payment of costs for City employees facing certain criminal or civil proceedings (amend Code Section 3.10.020),Lets the City pay certain legal costs for City employees facing some criminal or civil proceedings.,Emergency ordinance,Passed as amended,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2026/4/1,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea
2026-03-18,2026-055,Amend Campaign Finance Code to maintain enforcement of voter-approved regulations following court order (amend Code Chapter 2.10),Updates the Campaign Finance code so the City can keep enforcing voter-approved campaign finance rules after a court order.,Ordinance,Passed as amended,Government Transparency,Not specified in agenda,https://www.portland.gov/council/agenda/2026/3/18,Yea,Yea,Nay,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea
2026-03-11,2026-063,​​Adopt the Public Infrastructure Environmental Code Project to streamline environmental zoning regulations to accommodate needed infrastructure projects and support ongoing natural resource management (amend Code Title 33)​,"Adopts the Public Infrastructure Environmental Code Project, streamlining environmental zoning rules so needed infrastructure projects can be built while natural resources continue to be managed.",Ordinance,Passed as amended,Environment & Energy; Land Use & Planning,Not specified in agenda,https://www.portland.gov/council/agenda/2026/3/11,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2026-03-11,2026-073,​​Amend Civil Rights Code related to sexual orientation and family status definitions and amend nondiscrimination clauses (amend Code Section 14A.50.110 and Code Chapter 23.01),Updates the City's Civil Rights code definitions of sexual orientation and family status and revises nondiscrimination clauses.,Ordinance,Passed as amended,Civil Rights & Equity,Not specified in agenda,https://www.portland.gov/council/agenda/2026/3/11,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea
